Job_Title,Level,Location,Technology,Framework,Database,Experience_Years
Backend Developer,Junior,Medellín,Python,FastAPI,PostgreSQL,1
Frontend Developer,Junior,Medellín,JavaScript,React,N/A,1
Full Stack Developer,Junior,Medellín,JavaScript,Node.js,MongoDB,1
Backend Developer,Junior,Medellín,Java,Spring Boot,MySQL,1
Data Analyst,Junior,Medellín,Python,Pandas,SQL Server,1
Software Developer,Junior,Medellín,C#,.NET,SQL Server,1
Backend Developer,Junior,Medellín,Python,Django,PostgreSQL,1
Frontend Developer,Junior,Medellín,JavaScript,Vue.js,N/A,1
Full Stack Developer,Junior,Medellín,JavaScript,Angular,MongoDB,1
Data Analyst,Junior,Medellín,R,Shiny,PostgreSQL,1
